X,Y,Original Slide label,Static Predicted Probability,Static predicted zone,LITHOLOGY,LULC11_12,LULC15_16,PANCHAYATH_CODE,PANCHAYATH_NAME,HAND,TPI,ASPEC,DRAIN_DEN,NDBI,NDVI,SPI,TRI,TWI,ELEVATION,PLANCU,PROFCU,RRELIEF,GW_IDW,LINEAMENT_DEN,ROAD_DEN,SLOPE,D_RAINFALL,SOIL_T,SOIL_DEPTH,SOIL_TEXTURE,VILLAGE_BLK
77.23300171,9.495960236,0,0.001310734,very low,Charnakite,Grassland - Temperate / Sub Tropical,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,3,4,5,3,5,3,4,4,2,7,4,6,2,2,4,4,2,1,1,Very deep,Clay,63
77.22989655,9.495980263,0,0.001526079,very low,Charnakite,Grassland - Temperate / Sub Tropical,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,5,8,3,4,2,4,3,3,7,6,4,2,2,4,3,2,1,1,Very deep,Clay,63
77.22669983,9.49600029,0,0.001550123,very low,Charnakite,Grassland - Temperate / Sub Tropical,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,6,9,4,4,3,3,3,2,6,8,5,2,2,4,3,3,1,8,Very deep,Clay,63
77.22360229,9.496020317,0,0.001382337,very low,Charnakite,Grassland - Temperate / Sub Tropical,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,4,8,3,4,3,4,2,2,6,7,6,2,2,4,3,2,1,8,Very deep,Clay,63
77.22049713,9.496040344,0,0.001326852,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,7,3,3,2,4,2,5,2,6,4,4,2,2,3,3,2,1,8,Very deep,Clay,66
77.21730042,9.496060371,0,0.001362139,very low,Charnakite,Reservoir - Permanent,Reservoir - Permanent,47,Kumily,1,3,2,3,2,4,4,4,3,5,6,7,2,2,3,3,1,1,8,Very deep,Clay,66
77.21420288,9.496080399,0,0.001165327,very low,Charnakite,Grassland - Temperate / Sub Tropical,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,6,5,3,3,4,2,4,1,7,4,4,2,2,3,4,5,1,8,Very deep,Clay,66
77.21099854,9.496100426,0,0.001139766,very low,Charnakite,Forest Plantation,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,7,10,3,2,4,4,5,2,7,4,4,2,2,3,3,3,1,8,Very deep,Clay,66
77.207901,9.496120453,0,0.001340156,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,3,3,3,2,4,2,2,1,6,6,6,2,2,3,3,1,1,8,Very deep,Clay,66
77.20480347,9.496139526,0,0.001388267,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,6,10,3,2,4,4,3,2,5,6,5,2,2,3,3,3,1,8,Very deep,Clay,66
77.20159912,9.496159554,0,0.001576201,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,6,4,3,3,4,1,4,1,6,3,4,3,2,3,3,1,1,8,Very deep,Clay,66
77.19850159,9.496179581,0,0.001177752,very low,Charnakite,Forest Plantation,Forest Plantation,47,Kumily,1,6,3,2,2,5,4,2,2,7,7,5,3,2,2,2,3,1,8,Very deep,Clay,66
77.19539642,9.496199608,0,0.001348356,very low,Charnakite,Grassland - Temperate / Sub Tropical,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,3,6,4,2,4,3,4,5,2,7,6,5,4,2,3,2,2,1,8,Very deep,Clay,66
77.19219971,9.496219635,0,0.001204766,very low,Charnakite,Scrubland - Open,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,4,5,2,2,4,3,3,2,7,6,7,5,2,2,2,4,1,8,Very deep,Clay,66
77.18910217,9.496239662,0,0.001324204,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,7,4,2,2,4,2,4,1,8,7,4,5,2,3,2,3,1,8,Very deep,Clay,66
77.18589783,9.496259689,0,0.001437888,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,2,3,2,1,5,5,3,3,8,4,7,4,2,2,1,4,1,8,Very deep,Clay,66
77.18280029,9.496279716,0,0.001362795,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,5,9,2,1,5,4,3,3,7,5,5,4,2,2,1,2,1,1,Very deep,Clay,66
77.17970276,9.496299744,0,0.001428087,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,4,9,2,1,5,4,3,3,7,8,6,4,2,3,1,4,1,1,Very deep,Clay,66
77.17649841,9.496319771,0,0.001221592,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,3,6,2,1,4,4,4,3,7,4,7,4,1,4,2,1,1,1,Very deep,Clay,66
77.17340088,9.496339798,0,0.001008154,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,5,4,2,2,5,3,3,1,7,5,7,4,1,4,3,3,1,1,Very deep,Clay,66
77.17019653,9.496359825,0,0.001029786,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,3,7,3,2,2,4,2,4,1,7,4,5,4,1,4,3,4,1,1,Very deep,Clay,66
77.167099,9.496379852,0,0.001084438,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,3,4,4,2,1,5,1,4,1,7,6,6,3,1,4,3,4,1,1,Very deep,Clay,66
77.16400146,9.496399879,0,0.000951354,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,4,6,9,2,1,4,2,4,1,7,5,6,3,1,4,4,4,1,1,Very deep,Clay,66
77.16079712,9.496419907,0,0.002784516,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,4,7,5,2,1,5,2,4,1,7,4,4,3,1,4,4,2,2,8,Very deep,Clay,66
77.15769958,9.496439934,0,0.001764546,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,3,3,7,2,1,5,4,4,2,7,7,6,3,1,4,5,2,2,8,Very deep,Clay,66
77.15460205,9.496459961,0,0.002351859,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,3,6,6,2,1,5,3,4,1,7,4,4,3,1,4,5,4,2,8,Very deep,Clay,66
77.15139771,9.496470451,0,0.001654853,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,5,3,2,1,5,3,3,1,6,4,5,3,2,3,6,2,2,8,Very deep,Clay,66
77.14830017,9.496489525,0,0.001971311,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,7,10,2,2,4,1,4,1,6,6,4,3,2,3,6,2,2,8,Very deep,Clay,66
77.14520264,9.496509552,0,0.001548656,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,4,10,2,2,4,4,4,2,5,4,6,3,2,3,6,3,2,8,Very deep,Clay,58
77.14199829,9.496529579,0,0.001915554,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,5,9,2,2,4,3,3,1,6,4,6,3,2,2,7,4,2,8,Very deep,Clay,66
77.13890076,9.496549606,0,0.002891423,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,8,5,2,2,4,1,3,1,6,5,3,4,2,3,6,3,2,1,Very deep,Clay,66
77.13569641,9.496569633,0,0.002229203,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,4,8,2,1,4,4,5,2,5,6,5,4,2,2,6,4,2,8,Very deep,Clay,66
77.13259888,9.496589661,0,0.002079921,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,5,6,2,1,5,4,4,2,6,7,6,4,2,3,6,2,2,1,Very deep,Clay,66
77.12950134,9.496609688,0,0.002599702,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,5,7,2,1,4,2,2,1,6,4,5,4,2,3,5,2,2,1,Very deep,Clay,66
77.126297,9.496629715,0,0.001863523,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,5,5,2,2,5,2,2,1,6,5,6,3,2,3,5,1,2,1,Very deep,Clay,66
77.12319946,9.496649742,0,0.003959061,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,7,7,2,2,4,4,4,2,6,5,4,3,3,2,4,2,2,1,Very deep,Clay,66
77.12010193,9.496669769,0,0.00402974,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,5,10,2,2,4,3,4,2,6,6,6,3,3,3,4,4,2,1,Very deep,Clay,66
77.11689758,9.496689796,0,0.005656458,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,7,3,2,1,5,3,4,1,5,6,5,3,3,3,4,4,3,1,Very deep,Clay,66
77.11380005,9.496700287,0,0.002917184,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,1,10,1,4,1,5,1,2,5,6,8,3,3,3,3,3,3,1,Very deep,Clay,66
77.11060333,9.496720314,0,0.007514349,very low,Charnakite,Reservoir - Permanent,Reservoir - Permanent,47,Kumily,1,7,10,1,3,1,3,2,2,5,7,3,3,3,4,3,3,3,1,Very deep,Clay,58
77.10749817,9.496740341,0,0.025709163,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,5,4,1,1,5,4,4,3,5,7,5,3,4,4,3,3,3,1,Very deep,Clay,66
77.10440063,9.496760368,0,0.028608425,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,7,10,2,2,4,1,3,1,5,5,4,3,4,4,2,2,3,1,Very deep,Clay,66
77.10119629,9.496780396,0,0.034910526,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,4,2,2,1,5,4,3,2,6,6,6,2,4,4,2,1,3,1,Very deep,Clay,66
77.09809875,9.496800423,0,0.011798717,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,7,2,2,2,4,4,3,3,6,6,3,2,4,4,2,5,3,8,Very deep,Clay,66
77.09500122,9.49682045,0,0.013539159,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,4,2,2,2,4,4,2,2,6,6,6,2,4,4,2,5,3,8,Very deep,Clay,66
77.09179688,9.496839523,0,0.01033988,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,5,10,2,3,3,3,4,2,6,5,5,2,4,4,2,3,3,8,Very deep,Clay,66
77.08869934,9.496850014,0,0.011081724,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,7,8,2,2,4,2,3,1,5,8,5,2,4,4,2,2,3,8,Very deep,Clay,66
